"국가(1)",국가(2),2018,2019,2020
"아시아",대한민국,0.280,0.265,0.249
"아시아",아제르바이잔,0.221,0.235,0.238
"아시아",바레인,0.414,0.438,0.454
"아시아",중국,0.461,0.442,0.438
"아시아",키프로스,0.183,0.175,0.169
"아시아",조지아,0.169,0.171,0.179
"아시아",홍콩,0.095,0.095,0.082
"아시아",인도,0.263,0.249,0.243
"아시아",인도네시아,0.175,0.179,0.170
"아시아",이란,0.468,0.468,0.452
"아시아",이라크,0.313,0.323,0.321
"아시아",이스라엘,0.168,0.167,0.160
"아시아",일본,0.205,0.199,0.196
"아시아",요르단,0.230,0.217,0.199
"아시아",카자흐스탄,0.447,0.405,0.430
"아시아",북한,0.456,0.508,0.478
"아시아",쿠웨이트,0.425,0.432,0.467
"아시아",키르기스스탄,0.320,0.268,0.263
"아시아",레바논,0.238,0.257,0.279
"아시아",말레이시아,0.262,0.255,0.267
"아시아",몽골,0.554,0.563,0.538
"아시아",오만,0.437,0.443,0.426
"아시아",파키스탄,0.152,0.146,0.146
"아시아",필리핀,0.141,0.140,0.143
"아시아",카타르,0.328,0.334,0.342
"아시아",사우디아라비아,0.310,0.309,0.313
"아시아",싱가포르,0.082,0.081,0.081
"아시아",스리랑카,0.074,0.079,0.076
"아시아",시리아,0.731,0.647,0.652
"아시아",태국,0.192,0.196,0.202
"아시아",튀르키예,0.161,0.156,0.153
"아시아",투르크메니스탄,0.689,0.651,0.633
"아시아",아랍에미리트,0.257,0.267,0.289
"아시아",우즈베키스탄,0.461,0.453,0.436
"아시아",베트남,0.258,0.290,0.292
"아시아",예멘,0.139,0.135,0.130
"북아메리카",캐나다,0.314,0.301,0.290
"북아메리카",멕시코,0.166,0.169,0.152
"북아메리카",미국,0.245,0.231,0.215
"남아메리카",아르헨티나,0.169,0.164,0.167
"남아메리카",볼리비아,0.207,0.202,0.186
"남아메리카",브라질,0.134,0.132,0.130
"남아메리카",칠레,0.183,0.193,0.189
"남아메리카",콜롬비아,0.103,0.099,0.107
"남아메리카",코스타리카,0.074,0.071,0.065
"남아메리카",쿠바,0.084,0.077,0.087
"남아메리카",에콰도르,0.184,0.181,0.168
"남아메리카",엘살바도르,0.116,0.131,0.116
"남아메리카",과테말라,0.122,0.125,0.110
"남아메리카",온두라스,0.151,0.169,0.161
"남아메리카",자메이카,0.289,0.280,0.210
"남아메리카",니카라과,0.129,0.138,0.125
"남아메리카",파나마,0.072,0.094,0.085
"남아메리카",파라과이,0.090,0.088,0.083
"남아메리카",페루,0.122,0.125,0.114
"남아메리카",수리남,0.195,0.238,0.277
"남아메리카",트리니다드토바고,0.458,0.443,0.428
"남아메리카",우루과이,0.078,0.082,0.083
"남아메리카",베네수엘라,0.204,0.159,0.107
"유럽",알바니아,0.115,0.104,0.090
"유럽",오스트리아,0.125,0.127,0.124
"유럽",벨라루스,0.319,0.305,0.292
"유럽",벨기에,0.156,0.151,0.147
