"국가별",2018,2019,2020,2021,2022
"세계",3.3,2.6,-3.1,6.0,3.1
"아시아",,,,,
"대한민국",2.9,2.2,-0.7,4.3,2.6
"아프가니스탄",1.2,3.9,-2.4,-20.7,-
"아르메니아",5.2,7.6,-7.2,5.7,12.6
"아제르바이잔",1.5,2.5,-4.3,5.6,4.6
"바레인",2.1,2.2,-4.6,2.7,4.9
"방글라데시",7.3,7.9,3.4,6.9,7.1
"부탄",3.1,5.8,-10.0,4.1,-
"브루나이",0.1,3.9,1.1,-1.6,-1.6
"캄보디아",7.5,7.1,-3.1,3.0,5.2
"중국",6.7,6.0,2.2,8.4,3.0
"키프로스",5.6,5.5,-4.4,6.6,5.6
"조지아",4.8,5.0,-6.8,10.5,10.1
"홍콩",2.8,-1.7,-6.5,6.4,-3.5
"인도",6.5,3.9,-5.8,9.1,7.0
"인도네시아",5.2,5.0,-2.1,3.7,5.3
"이란",-2.3,-2.7,3.3,4.7,2.7
"이라크",2.6,5.5,-12.0,1.6,7.0
"이스라엘",4.1,4.2,-1.9,8.6,6.5
"일본",0.6,-0.4,-4.3,2.1,1.0
"요르단",1.9,1.8,-1.6,2.2,2.5
"카자흐스탄",4.1,4.5,-2.5,4.3,3.2
"쿠웨이트",2.4,-0.6,-8.9,1.3,8.2
"키르기스스탄",3.8,4.6,-8.4,6.2,7.0
"라오스",6.2,5.5,0.5,2.5,2.7
"레바논",-1.9,-6.9,-21.4,-7.0,-
"마카오",6.5,-2.5,-54.2,19.3,-26.8
"말레이시아",4.8,4.4,-5.5,3.1,8.7
"몰디브",8.1,7.1,-33.5,41.7,12.3
"몽골",7.7,5.6,-4.6,1.6,4.8
"미얀마",6.4,6.8,3.2,-17.9,3.0
"네팔",7.6,6.7,-2.4,4.8,5.6
"오만",1.3,-1.1,-3.4,3.1,4.3
"파키스탄",6.2,2.5,-1.3,6.5,6.2
"필리핀",6.3,6.1,-9.5,5.7,7.6
"카타르",1.2,0.8,-3.6,1.6,4.8
"사우디아라비아",2.8,0.8,-4.3,3.9,8.7
"싱가포르",3.6,1.3,-3.9,8.9,3.6
"스리랑카",2.3,-0.2,-4.6,3.5,-7.8
"시리아",1.4,1.2,-3.9,-,-
"대만",2.8,3.1,3.4,6.5,2.4
"타지키스탄",7.6,7.4,4.4,9.4,8.0
"태국",4.2,2.1,-6.1,1.5,2.6
"튀르키예",3.0,0.8,1.9,11.4,5.6
"투르크메니스탄",6.2,6.3,-3.4,-,-
"아랍에미리트",1.3,1.1,-5.0,3.9,7.4
"우즈베키스탄",5.9,6.0,2.0,7.4,5.7
"베트남",7.5,7.4,2.9,2.6,8.0
"예멘",0.8,-,-,-,-
"북아메리카",,,,,
