기간,원자력,석탄,,,유류,LNG,양수,신재생,,,,,,,,,기타,합계
,,유연탄,무연탄,계,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,계,,
2023,49.69750733,151.18829149,171.91366142,151.3928874,348.70996405,224.28524822,244.74570168,156.5271776,199.1054391,164.4180473,162.6326634,168.7230516,153.2776352,206.0029073,,175.950157,175.13096034,143.46230047
2022,52.47636226,156.72986252,202.11727726,157.1393575,310.03475988,239.29827219,277.58319374,184.453219,192.1794299,190.9578461,191.4995457,206.5929214,184.8054286,229.5746195,,202.8096889,205.76970583,153.02846344
2021,56.14787302,99.03356569,100.89529978,99.04990256,217.16526301,121.69608186,140.13415179,94.2961987,94.1839477,93.359779,99.2823361,104.3552221,92.5500059,136.7577247,,106.4163243,108.86541085,95.00000028
2020,59.61105795,81.51890023,81.01580419,81.51385625,193.02270946,98.54544508,112.79509064,66.0941646,68.1791531,70.321154,72.9042321,79.3284496,67.2457997,113.4206393,,80.2796269,78.11657473,80.3501636
2019,58.31115941,86.03347338,101.53895627,86.19974286,231.20339434,118.67037615,121.2500273,89.0029051,81.7410875,93.820947,103.4897456,103.8505126,88.6727898,119.8227997,94.5823712,99.7334354,98.36049828,89.38076393
2018,62.09606912,81.80499522,104.63597289,82.04618667,179.42702555,121.03039819,125.36563397,94.4435338,94.8644512,97.9292083,105.7735927,106.6696077,93.3516251,94.3428225,97.0953395,98.6104536,98.4183265,90.08860103
2017,60.67639242,78.49484399,95.42552722,78.79178028,165.44800847,111.60328042,107.59732807,80.3222142,80.0701257,84.1721115,91.1905769,93.6998883,79.7459115,80.2841238,96.4839176,90.520473,90.23287066,82.98260208
2016,67.90783105,73.93043395,88.70251416,74.4359811,109.14979923,99.38689822,106.20826286,76.4577535,76.1090206,76.8129128,82.7997915,84.185771,75.6898693,76.2591886,96.206172,88.0590898,87.42285694,79.58528618
2015,62.69426758,70.99200618,107.69246927,72.22991785,150.28634891,126.34146452,132.7471774,116.2745938,97.8763688,169.1725095,109.4142982,113.3423452,98.9559196,103.2813107,98.0997667,108.3894867,92.49438262,84.04485919
2014,54.69630127,65.12700029,91.10495942,66.14808168,221.24225972,160.90238664,171.62960247,157.8234746,,220.8181574,153.1610991,155.7836458,138.4009664,160.2972133,103.8215749,129.7156629,,90.47921239
2013,39.02912591,58.8374633,91.64568524,60.08175069,221.69779632,160.7532243,204.21587997,156.0519055,,171.8938699,162.7336616,167.6011263,147.3036984,153.3774284,87.263119,129.1176676,386087.38106961,87.80978001
2012,39.52442265,66.24926088,103.79312411,67.81240061,252.9577562,168.10569349,213.92837677,157.0708635,,170.5638312,174.5917586,177.6815628,154.6475277,157.538133,79.9871493,129.2397784,1624.09889699,90.16571337
2011,39.11830937,67.13156158,98.55123529,68.39398157,225.82448094,142.36703913,168.82941727,124.4702612,,130.6827739,143.0787137,135.0667112,134.0494423,124.4348082,79.3535223,109.0679575,997.00110678,79.54797022
2010,39.6119266,60.79299966,110.0482444,62.76521351,184.60316692,128.07469164,202.60911503,114.1626641,,124.9336654,124.3466575,133.4693529,117.5727346,115.1465349,66.7389949,108.8364126,1108.6355855,73.09316205
2009,35.55821065,60.22883755,109.10359297,62.14518464,147.24079577,129.53558252,149.69605034,101.9723068,,103.7261245,107.8356856,109.2509399,120.427799,103.9895313,7.3895518,91.4591979,1361.2052524,66.33552388
2008,39.02172225,51.15300699,117.54609547,53.67219393,194.42737009,143.74506275,196.7815983,146.8792157,,136.8768773,126.7325058,134.3083411,0,121.344219,4.9809628,113.555203,1435.5484874,68.3107927
2007,39.40480594,40.92540647,65.36816269,41.82717172,118.30422152,104.92722151,163.31379483,82.004066,,86.7288891,83.6730147,93.6022751,0,84.1660805,3.0955269,78.5276532,13948.18434541,56.51206628
2006,38.13109145,38.43066211,54.59263667,39.0536782,116.72749995,102.95183483,136.80135047,84.7324123,,82.3609593,79.028981,83.9671969,0,78.5808601,1.9528406,73.2885028,,53.32816508
2005,39.10271126,43.53839746,53.77336732,43.95254484,92.77442181,87.13898355,108.28470777,0,,63.369091,63.1546891,71.2459471,0,59.6866497,1.0597929,60.0106098,,50.99704121
2004,39.51963538,41.85723562,52.17231599,42.29762044,81.56238788,77.91324442,108.20063523,0,,58.54405,55.6498964,62.0094683,0,54.5374011,0.3807225,49.6749067,,49.22816059
2003,43.12008048,42.90568397,52.88427154,43.43633834,84.35679973,90.20322692,89.96088051,0,,0,141.1978307,79.0884323,0,120.7290437,7.9073315,79.6337561,,51.70491884
2002,39.54915917,42.36970449,48.73032893,42.70795809,71.04353082,75.59556995,83.58327765,0,,0,49.3760001,54.5042827,0,46.030917,0,54.0582824,,47.20222035
2001,39.64561179,41.39397912,56.69008898,42.2631257,73.46906991,87.77472509,73.91913971,0,,0,50.0260446,58.0252402,0,54.365022,0,58.0026547,,47.8710913
